,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.98655,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,6.98655,10.9098,219.4004,24.4713,1061.3876,REFPROP::R152a,46.07994
33,6.98655,32.9595,258.36956,24.4713,1193.46562,REFPROP::R152a,47.65121
34,6.98655,125.0,620.62324,23.24774,2226.86666,REFPROP::R152a,117.29739
35,6.98655,46.62502,555.8842,3.72764,2248.68677,REFPROP::R152a,46.37998
36,6.98655,11.9098,515.98223,3.72764,2116.60875,REFPROP::R152a,43.8759
41,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,6.98655,81.26708,356.04129,24.05645,1488.95507,REFPROP::R152a,61.6551
39,6.98655,80.45298,543.43104,23.64864,2019.06472,REFPROP::R152a,98.94431
48,10.0,117.30807,492.60826,5.0,1498.49913,REFPROP::water,68.96682
49,10.0,86.26789,361.68744,5.0,1149.14081,REFPROP::water,36.9668
