,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,6.87253,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,6.87253,16.02316,228.31189,26.46651,1091.73495,REFPROP::R152a,46.39858
33,6.87253,39.25605,269.92814,26.46651,1230.10624,REFPROP::R152a,48.83499
34,6.87253,130.0,622.66474,26.46651,2218.92515,REFPROP::R152a,121.58753
35,6.87253,52.99327,561.07871,4.61666,2239.68254,REFPROP::R152a,54.12404
36,6.87253,17.02316,518.48851,4.61666,2101.31125,REFPROP::R152a,50.71367
41,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,6.87253,85.87369,366.81604,26.46651,1518.20676,REFPROP::R152a,64.14723
39,6.87253,85.87369,543.00597,26.46651,2008.95413,REFPROP::R152a,101.38205
48,10.0,117.11577,491.79325,5.0,1496.41129,REFPROP::water,68.74298
49,10.0,85.87455,360.03509,5.0,1144.54101,REFPROP::water,36.61689
