,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.15376,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,7.15376,16.10764,228.38068,23.69029,1093.0071,REFPROP::R152a,46.10716
33,7.15376,38.63045,268.76317,23.33494,1227.52674,REFPROP::R152a,48.40041
34,7.15376,125.0,622.5499,22.16819,2236.57218,REFPROP::R152a,116.47593
35,7.15376,55.37299,563.73449,4.68696,2246.03228,REFPROP::R152a,54.98189
36,7.15376,21.10764,523.352,4.61666,2117.95511,REFPROP::R152a,50.86445
41,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,7.15376,79.01123,350.90817,22.93936,1474.86206,REFPROP::R152a,60.51242
39,7.15376,78.20632,543.38793,22.55048,2022.83846,REFPROP::R152a,97.83266
48,10.0,116.671,489.90845,5.0,1491.579,REFPROP::water,68.22644
49,10.0,84.01209,352.21311,5.0,1122.69754,REFPROP::water,34.97988
