,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.90584,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,7.90584,10.9935,219.60681,26.41186,1061.3876,REFPROP::R152a,46.28635
33,7.90584,33.16042,258.75592,26.41186,1194.01211,REFPROP::R152a,47.88284
34,7.90584,135.0,632.91317,25.09127,2249.57087,REFPROP::R152a,123.15862
35,7.90584,46.86908,556.16702,3.72764,2249.57087,REFPROP::R152a,46.41247
36,7.90584,11.9935,516.07848,3.72764,2116.94637,REFPROP::R152a,43.87656
41,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,7.90584,84.94081,364.59933,25.96412,1512.22435,REFPROP::R152a,63.62445
39,7.90584,84.11202,543.23459,25.52396,2012.41709,REFPROP::R152a,100.63013
48,10.0,123.37512,518.35292,5.0,1563.9264,REFPROP::water,76.18574
49,10.0,89.94165,377.1267,5.0,1191.87904,REFPROP::water,40.30473
