,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.14,4.983,0.0
7.5,5.14,4.747,0.0
7.0,5.14,4.511,0.0
6.5,5.14,4.274,0.0
6.0,5.14,4.043,0.0
15.0,5.14,8.623,0.0
14.5,5.14,8.344,0.0
14.0,5.14,8.061,0.0
13.5,5.14,7.788,0.0
13.0,5.14,7.518,0.0
12.5,5.14,7.248,0.0
12.0,5.14,6.988,0.0
11.5,5.14,6.727,0.0
11.0,5.14,6.467,0.0
10.5,5.14,6.217,0.0
10.0,5.14,5.964,0.0
9.5,5.14,5.713,0.0
9.0,5.14,5.471,0.0
8.5,5.14,5.226,0.0
5.5,5.14,3.816,0.0
5.0,5.14,3.583,0.0
4.5,5.14,3.357,0.0
4.0,5.14,3.137,0.0
3.5,5.14,2.91,0.0
3.0,5.14,2.687,0.0
2.5,5.14,2.471,0.0
2.0,5.14,2.0,0.0
1.5,5.14,1.5,0.0
1.0,5.14,1.0,0.0
0.5,5.14,0.5,0.0
0.0,5.14,-0.0,0.0
