,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,7.516,5.0
7.5,-0.01,7.281,5.0
7.0,-0.01,7.0,5.0
6.5,-0.01,6.5,5.0
6.0,-0.01,6.0,5.0
5.5,-0.01,5.5,5.0
5.0,-0.01,5.0,5.0
4.5,-0.01,5.0,5.0
4.0,-0.01,5.0,5.0
3.5,-0.01,5.0,5.0
3.0,-0.01,5.0,5.0
2.5,-0.01,5.0,5.0
2.0,-0.01,5.0,5.0
1.5,-0.01,5.0,5.0
1.0,-0.01,5.0,5.0
0.5,-0.01,5.0,5.0
0.0,-0.01,5.0,5.0
15.0,-0.01,11.128,3.492
14.5,-0.01,10.84,3.738
14.0,-0.01,10.56,3.982
13.5,-0.01,10.289,4.226
13.0,-0.01,10.014,4.468
12.5,-0.01,9.749,4.708
12.0,-0.01,9.488,4.948
11.5,-0.01,9.227,5.0
11.0,-0.01,8.976,5.0
10.5,-0.01,8.724,5.0
10.0,-0.01,8.474,5.0
9.5,-0.01,8.233,5.0
9.0,-0.01,7.989,5.0
8.5,-0.01,7.748,5.0
