,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,7.495,5.0
7.5,-0.01,7.259,5.0
7.0,-0.01,7.0,5.0
6.5,-0.01,6.5,5.0
6.0,-0.01,6.0,5.0
5.5,-0.01,5.5,5.0
5.0,-0.01,5.0,5.0
4.5,-0.01,6.5,5.0
4.0,-0.01,6.5,5.0
3.5,-0.01,6.5,5.0
3.0,-0.01,6.5,5.0
2.5,-0.01,6.5,5.0
2.0,-0.01,6.5,5.0
1.5,-0.01,6.5,5.0
1.0,-0.01,6.5,5.0
0.5,-0.01,6.5,5.0
0.0,-0.01,6.5,5.0
15.0,-0.01,11.11,3.344
14.5,-0.01,10.82,3.591
14.0,-0.01,10.541,3.835
13.5,-0.01,10.269,4.079
13.0,-0.01,9.994,4.321
12.5,-0.01,9.73,4.562
12.0,-0.01,9.468,4.801
11.5,-0.01,9.207,5.0
11.0,-0.01,8.956,5.0
10.5,-0.01,8.702,5.0
10.0,-0.01,8.453,5.0
9.5,-0.01,8.213,5.0
9.0,-0.01,7.968,5.0
8.5,-0.01,7.727,5.0
