,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,6.5,0.0
7.5,-0.01,6.249,0.0
7.0,-0.01,6.001,0.0
6.5,-0.01,5.761,0.0
6.0,-0.01,5.518,0.0
5.5,-0.01,5.278,0.0
5.0,-0.01,5.0,0.0
4.5,-0.01,4.5,0.0
4.0,-0.01,4.0,0.0
3.5,-0.01,3.5,0.0
3.0,-0.01,3.0,0.0
2.5,-0.01,2.5,0.0
2.0,-0.01,2.0,0.0
1.5,-0.01,1.5,0.0
1.0,-0.01,1.0,0.0
0.5,-0.01,0.5,0.0
0.0,-0.01,-0.0,0.0
15.0,-0.01,10.39,0.0
14.5,-0.01,10.084,0.0
14.0,-0.01,9.776,0.0
13.5,-0.01,9.479,0.0
13.0,-0.01,9.187,0.0
12.5,-0.01,8.897,0.0
12.0,-0.01,8.619,0.0
11.5,-0.01,8.336,0.0
11.0,-0.01,8.063,0.0
10.5,-0.01,7.796,0.0
10.0,-0.01,7.526,0.0
9.5,-0.01,7.266,0.0
9.0,-0.01,7.007,0.0
8.5,-0.01,6.749,0.0
