,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.14,4.334,0.0
7.5,5.14,4.092,0.0
7.0,5.14,3.845,0.0
6.5,5.14,3.605,0.0
6.0,5.14,3.37,0.0
15.0,5.14,8.071,0.0
14.5,5.14,7.782,0.0
14.0,5.14,7.493,0.0
13.5,5.14,7.215,0.0
13.0,5.14,6.935,0.0
12.5,5.14,6.66,0.0
12.0,5.14,6.394,0.0
11.5,5.14,6.122,0.0
11.0,5.14,5.858,0.0
10.5,5.14,5.601,0.0
10.0,5.14,5.338,0.0
9.5,5.14,5.084,0.0
9.0,5.14,4.835,0.0
8.5,5.14,4.58,0.0
5.5,5.14,3.129,0.0
5.0,5.14,2.894,0.0
4.5,5.14,2.666,0.0
4.0,5.14,2.431,0.0
3.5,5.14,2.201,0.0
3.0,5.14,1.976,0.0
2.5,5.14,1.75,0.0
2.0,5.14,1.523,0.0
1.5,5.14,1.302,0.0
1.0,5.14,1.0,0.0
0.5,5.14,0.5,0.0
0.0,5.14,-0.0,0.0
