,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.14,4.308,0.0
7.5,5.14,4.064,0.0
7.0,5.14,3.818,0.0
6.5,5.14,3.578,0.0
6.0,5.14,3.342,0.0
15.0,5.14,8.048,0.0
14.5,5.14,7.758,0.0
14.0,5.14,7.47,0.0
13.5,5.14,7.192,0.0
13.0,5.14,6.91,0.0
12.5,5.14,6.636,0.0
12.0,5.14,6.369,0.0
11.5,5.14,6.097,0.0
11.0,5.14,5.834,0.0
10.5,5.14,5.575,0.0
10.0,5.14,5.313,0.0
9.5,5.14,5.059,0.0
9.0,5.14,4.808,0.0
8.5,5.14,4.554,0.0
5.5,5.14,3.101,0.0
5.0,5.14,2.867,0.0
4.5,5.14,2.639,0.0
4.0,5.14,2.403,0.0
3.5,5.14,2.173,0.0
3.0,5.14,1.949,0.0
2.5,5.14,1.721,0.0
2.0,5.14,1.495,0.0
1.5,5.14,1.274,0.0
1.0,5.14,1.0,0.0
0.5,5.14,0.5,0.0
0.0,5.14,-0.0,0.0
