,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,6.927,5.0
7.5,-0.01,6.68,5.0
7.0,-0.01,6.442,5.0
6.5,-0.01,6.212,5.0
6.0,-0.01,5.973,5.0
5.5,-0.01,5.5,5.0
5.0,-0.01,5.0,5.0
4.5,-0.01,4.5,5.0
4.0,-0.01,4.0,5.0
3.5,-0.01,3.5,5.0
3.0,-0.01,3.0,5.0
2.5,-0.01,2.5,5.0
2.0,-0.01,2.0,5.0
1.5,-0.01,1.5,5.0
1.0,-0.01,1.0,5.0
0.5,-0.01,0.5,5.0
0.0,-0.01,-0.0,5.0
15.0,-0.01,10.644,5.0
14.5,-0.01,10.348,5.0
14.0,-0.01,10.06,5.0
13.5,-0.01,9.78,5.0
13.0,-0.01,9.497,5.0
12.5,-0.01,9.226,5.0
12.0,-0.01,8.956,5.0
11.5,-0.01,8.688,5.0
11.0,-0.01,8.43,5.0
10.5,-0.01,8.168,5.0
10.0,-0.01,7.912,5.0
9.5,-0.01,7.665,5.0
9.0,-0.01,7.411,5.0
8.5,-0.01,7.165,5.0
