,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.168,4.858,5.0
7.5,5.168,4.624,5.0
7.0,5.168,4.384,5.0
6.5,5.168,4.149,5.0
6.0,5.168,3.919,5.0
15.0,5.168,8.46,5.0
14.5,5.168,8.183,5.0
14.0,5.168,7.907,5.0
13.5,5.168,7.64,5.0
13.0,5.168,7.372,5.0
12.5,5.168,7.107,5.0
12.0,5.168,6.851,5.0
11.5,5.168,6.59,5.0
11.0,5.168,6.334,5.0
10.5,5.168,6.087,5.0
10.0,5.168,5.833,5.0
9.5,5.168,5.586,5.0
9.0,5.168,5.346,5.0
8.5,5.168,5.099,5.0
5.5,5.168,3.687,5.0
5.0,5.168,3.456,5.0
4.5,5.168,3.23,5.0
4.0,5.168,3.006,5.0
3.5,5.168,2.778,5.0
3.0,5.168,2.556,5.0
2.5,5.168,2.339,5.0
2.0,5.168,2.0,5.0
1.5,5.168,1.5,5.0
1.0,5.168,1.0,5.0
0.5,5.168,0.5,5.0
0.0,5.168,-0.0,5.0
