,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.182,4.833,5.0
7.5,5.182,4.599,5.0
7.0,5.182,4.358,5.0
6.5,5.182,4.123,5.0
6.0,5.182,3.894,5.0
15.0,5.182,8.437,5.0
14.5,5.182,8.159,5.0
14.0,5.182,7.883,5.0
13.5,5.182,7.618,5.0
13.0,5.182,7.347,5.0
12.5,5.182,7.083,5.0
12.0,5.182,6.828,5.0
11.5,5.182,6.565,5.0
11.0,5.182,6.31,5.0
10.5,5.182,6.063,5.0
10.0,5.182,5.808,5.0
9.5,5.182,5.561,5.0
9.0,5.182,5.321,5.0
8.5,5.182,5.073,5.0
5.5,5.182,3.66,5.0
5.0,5.182,3.429,5.0
4.5,5.182,3.205,5.0
4.0,5.182,2.979,5.0
3.5,5.182,2.751,5.0
3.0,5.182,2.529,5.0
2.5,5.182,2.311,5.0
2.0,5.182,2.0,5.0
1.5,5.182,1.5,5.0
1.0,5.182,1.0,5.0
0.5,5.182,0.5,5.0
0.0,5.182,-0.0,5.0
