,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,6.903,5.0
7.5,-0.01,6.657,5.0
7.0,-0.01,6.42,5.0
6.5,-0.01,6.188,5.0
6.0,-0.01,5.949,5.0
5.5,-0.01,5.5,5.0
5.0,-0.01,5.0,5.0
4.5,-0.01,4.5,5.0
4.0,-0.01,4.0,5.0
3.5,-0.01,3.5,5.0
3.0,-0.01,3.0,5.0
2.5,-0.01,2.5,5.0
2.0,-0.01,2.0,5.0
1.5,-0.01,1.5,5.0
1.0,-0.01,1.0,5.0
0.5,-0.01,0.5,5.0
0.0,-0.01,-0.0,5.0
15.0,-0.01,10.625,4.919
14.5,-0.01,10.328,5.0
14.0,-0.01,10.04,5.0
13.5,-0.01,9.759,5.0
13.0,-0.01,9.477,5.0
12.5,-0.01,9.206,5.0
12.0,-0.01,8.934,5.0
11.5,-0.01,8.667,5.0
11.0,-0.01,8.41,5.0
10.5,-0.01,8.146,5.0
10.0,-0.01,7.891,5.0
9.5,-0.01,7.643,5.0
9.0,-0.01,7.388,5.0
8.5,-0.01,7.143,5.0
