,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,6.477,0.0
7.5,-0.01,6.225,0.0
7.0,-0.01,5.977,0.0
6.5,-0.01,5.738,0.0
6.0,-0.01,5.493,0.0
5.5,-0.01,5.253,0.0
5.0,-0.01,5.0,0.0
4.5,-0.01,4.5,0.0
4.0,-0.01,4.0,0.0
3.5,-0.01,3.5,0.0
3.0,-0.01,3.0,0.0
2.5,-0.01,2.5,0.0
2.0,-0.01,2.0,0.0
1.5,-0.01,1.5,0.0
1.0,-0.01,1.0,0.0
0.5,-0.01,0.5,0.0
0.0,-0.01,-0.0,0.0
15.0,-0.01,10.37,0.0
14.5,-0.01,10.065,0.0
14.0,-0.01,9.755,0.0
13.5,-0.01,9.459,0.0
13.0,-0.01,9.165,0.0
12.5,-0.01,8.876,0.0
12.0,-0.01,8.598,0.0
11.5,-0.01,8.315,0.0
11.0,-0.01,8.041,0.0
10.5,-0.01,7.773,0.0
10.0,-0.01,7.504,0.0
9.5,-0.01,7.244,0.0
9.0,-0.01,6.984,0.0
8.5,-0.01,6.726,0.0
