,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.168,5.502,5.0
7.5,5.168,5.272,5.0
7.0,5.168,5.046,5.0
6.5,5.168,4.814,5.0
6.0,5.168,4.588,5.0
15.0,5.168,9.003,5.0
14.5,5.168,8.735,5.0
14.0,5.168,8.466,5.0
13.5,5.168,8.206,5.0
13.0,5.168,7.946,5.0
12.5,5.168,7.687,5.0
12.0,5.168,7.437,5.0
11.5,5.168,7.187,5.0
11.0,5.168,6.936,5.0
10.5,5.168,6.694,5.0
10.0,5.168,6.452,5.0
9.5,5.168,6.209,5.0
9.0,5.168,5.974,5.0
8.5,5.168,5.739,5.0
5.5,5.168,4.369,5.0
5.0,5.168,4.142,5.0
4.5,5.168,3.92,5.0
4.0,5.168,3.704,5.0
3.5,5.168,3.486,5.0
3.0,5.168,3.0,5.0
2.5,5.168,2.5,5.0
2.0,5.168,2.0,5.0
1.5,5.168,1.5,5.0
1.0,5.168,1.0,5.0
0.5,5.168,0.5,5.0
0.0,5.168,-0.0,5.0
