,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,5.182,5.478,5.0
7.5,5.182,5.248,5.0
7.0,5.182,5.021,5.0
6.5,5.182,4.789,5.0
6.0,5.182,4.564,5.0
15.0,5.182,8.982,5.0
14.5,5.182,8.713,5.0
14.0,5.182,8.443,5.0
13.5,5.182,8.184,5.0
13.0,5.182,7.923,5.0
12.5,5.182,7.665,5.0
12.0,5.182,7.415,5.0
11.5,5.182,7.163,5.0
11.0,5.182,6.913,5.0
10.5,5.182,6.672,5.0
10.0,5.182,6.428,5.0
9.5,5.182,6.185,5.0
9.0,5.182,5.95,5.0
8.5,5.182,5.714,5.0
5.5,5.182,4.345,5.0
5.0,5.182,4.117,5.0
4.5,5.182,3.895,5.0
4.0,5.182,3.679,5.0
3.5,5.182,3.46,5.0
3.0,5.182,3.0,5.0
2.5,5.182,2.5,5.0
2.0,5.182,2.0,5.0
1.5,5.182,1.5,5.0
1.0,5.182,1.0,5.0
0.5,5.182,0.5,5.0
0.0,5.182,-0.0,5.0
