,Min. temp. diff. COND [K],Min. temp. diff. EVA [K],Min. temp. diff. IHX [K]
8.0,-0.01,7.092,0.0
7.5,-0.01,6.854,0.0
7.0,-0.01,6.61,0.0
6.5,-0.01,6.373,0.0
6.0,-0.01,6.0,0.0
5.5,-0.01,5.5,0.0
5.0,-0.01,5.0,0.0
4.5,-0.01,4.5,0.0
4.0,-0.01,4.0,0.0
3.5,-0.01,3.5,0.0
3.0,-0.01,3.0,0.0
2.5,-0.01,2.5,0.0
2.0,-0.01,2.0,0.0
1.5,-0.01,1.5,0.0
1.0,-0.01,1.0,0.0
0.5,-0.01,0.5,0.0
0.0,-0.01,-0.0,0.0
15.0,-0.01,10.877,-0.601
14.5,-0.01,10.579,-0.472
14.0,-0.01,10.28,-0.22
13.5,-0.01,9.99,0.0
13.0,-0.01,9.708,0.0
12.5,-0.01,9.425,0.0
12.0,-0.01,9.153,0.0
11.5,-0.01,8.881,0.0
11.0,-0.01,8.613,0.0
10.5,-0.01,8.355,0.0
10.0,-0.01,8.092,0.0
9.5,-0.01,7.837,0.0
9.0,-0.01,7.591,0.0
8.5,-0.01,7.337,0.0
