k,A,A,A,A,A,A,A,A,A,A
comp,,103.35,90.28,96.45,6.9,13.65,-0.69,,,14.5
comp,cond,,,,,13.05,-0.09,96.46,-0.01,
comp,ihx,,,,,14.07,-1.11,98.6,-2.15,
comp,val,,,,,13.65,-0.69,96.45,-0.0,
comp,eva,,,,,13.27,-0.31,101.89,-5.44,
cond,,114.62,86.55,114.62,0.0,13.67,-0.72,,,0.0
cond,comp,,,,,13.05,-0.09,114.62,-0.0,
cond,ihx,,,,,14.16,-1.2,114.62,0.0,
cond,val,,,,,13.67,-0.72,114.62,0.0,
cond,eva,,,,,13.32,-0.36,114.62,-0.0,
ihx,,35.69,63.2,32.45,3.23,14.72,-1.76,,,6.46
ihx,comp,,,,,14.07,-1.11,31.02,1.43,
ihx,cond,,,,,14.16,-1.2,35.88,-3.43,
ihx,val,,,,,14.72,-1.76,32.45,-0.0,
ihx,eva,,,,,14.16,-1.2,33.68,-1.23,
val,,28.42,55.0,22.01,6.41,14.27,-1.31,,,14.3
val,comp,,,,,13.65,-0.69,20.23,1.77,
val,cond,,,,,13.67,-0.72,22.99,-0.98,
val,ihx,,,,,14.72,-1.76,30.52,-8.51,
val,eva,,,,,13.9,-0.94,22.17,-0.17,
eva,,43.37,,49.01,-5.65,13.9,-0.94,,,-11.13
eva,comp,,,,,13.27,-0.31,46.77,2.25,
eva,cond,,,,,13.32,-0.36,46.58,2.43,
eva,ihx,,,,,14.16,-1.2,48.6,0.41,
eva,val,,,,,13.9,-0.94,48.62,0.39,
