k,A,A,A,A,A,A,A,A,A,A
pump,,2.84,85.31,3.75,-0.9,7.46,0.95,,,-0.51
pump,eva,,,,,7.5,0.91,3.64,-0.11,
pump,ihx,,,,,7.35,1.06,3.89,0.14,
pump,exp,,,,,7.63,0.77,3.61,-0.13,
pump,cond,,,,,7.77,0.64,3.46,-0.29,
eva,,151.43,79.47,151.43,-0.0,7.5,0.91,,,8.56
eva,pump,,,,,7.5,0.91,151.43,0.0,
eva,ihx,,,,,7.83,0.58,142.87,-8.56,
eva,exp,,,,,7.5,0.91,151.43,0.0,
eva,cond,,,,,7.5,0.91,151.43,0.0,
ihx,,23.64,60.46,9.18,14.46,7.34,1.07,,,3.09
ihx,pump,,,,,7.35,1.06,9.1,-0.08,
ihx,eva,,,,,7.83,0.58,12.8,3.63,
ihx,exp,,,,,7.53,0.88,13.06,3.88,
ihx,cond,,,,,7.69,0.72,13.12,3.94,
exp,,43.96,91.57,52.24,-8.28,7.63,0.78,,,-0.21
exp,pump,,,,,7.63,0.77,52.25,0.01,
exp,eva,,,,,7.5,0.91,49.83,-2.42,
exp,ihx,,,,,7.53,0.88,51.57,-0.67,
exp,cond,,,,,7.93,0.47,47.25,-5.0,
cond,,57.56,,52.03,5.53,7.77,0.64,,,5.49
cond,pump,,,,,7.77,0.64,52.12,0.09,
cond,eva,,,,,7.5,0.91,50.25,-1.78,
cond,ihx,,,,,7.69,0.72,52.66,0.62,
cond,exp,,,,,7.93,0.47,53.14,1.11,
