STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3987;2021092600;    3;  15.8;  91.0;eor
       3987;2021092601;    3;  14.6;  93.0;eor
       3987;2021092602;    3;  14.8;  94.0;eor
       3987;2021092603;    3;  14.6;  95.0;eor
       3987;2021092604;    3;  14.1;  97.0;eor
       3987;2021092605;    3;  14.3;  97.0;eor
       3987;2021092606;    3;  14.3;  98.0;eor
       3987;2021092607;    3;  15.0;  97.0;eor
       3987;2021092608;    3;  17.2;  85.0;eor
       3987;2021092609;    3;  19.6;  74.0;eor
       3987;2021092610;    3;  20.4;  73.0;eor
       3987;2021092611;    3;  22.7;  59.0;eor
       3987;2021092612;    3;  23.1;  58.0;eor
       3987;2021092613;    3;  24.2;  54.0;eor
       3987;2021092614;    3;  23.9;  55.0;eor
       3987;2021092615;    3;  23.6;  59.0;eor
       3987;2021092616;    3;  21.7;  67.0;eor
       3987;2021092617;    3;  19.7;  74.0;eor
       3987;2021092618;    3;  18.4;  79.0;eor
       3987;2021092619;    3;  17.8;  80.0;eor
       3987;2021092620;    3;  17.3;  82.0;eor
       3987;2021092621;    3;  16.6;  85.0;eor
       3987;2021092622;    3;  16.1;  87.0;eor
       3987;2021092623;    3;  15.5;  90.0;eor
       3987;2021092700;    3;  14.9;  93.0;eor
       3987;2021092701;    3;  14.6;  94.0;eor
       3987;2021092702;    3;  14.4;  95.0;eor
       3987;2021092703;    3;  15.1;  93.0;eor
       3987;2021092704;    3;  15.0;  92.0;eor
       3987;2021092705;    3;  15.0;  96.0;eor
       3987;2021092706;    3;  14.8;  98.0;eor
       3987;2021092707;    3;  15.6;  97.0;eor
       3987;2021092708;    3;  16.5;  93.0;eor
       3987;2021092709;    3;  17.7;  89.0;eor
       3987;2021092710;    3;  18.1;  90.0;eor
       3987;2021092711;    3;  18.7;  88.0;eor
       3987;2021092712;    3;  18.9;  88.0;eor
       3987;2021092713;    3;  19.1;  82.0;eor
       3987;2021092714;    3;  19.2;  85.0;eor
       3987;2021092715;    3;  19.3;  84.0;eor
       3987;2021092716;    3;  18.7;  86.0;eor
       3987;2021092717;    3;  17.6;  94.0;eor
       3987;2021092718;    3;  17.3;  93.0;eor
       3987;2021092719;    3;  17.2;  94.0;eor
       3987;2021092720;    3;  17.4;  92.0;eor
       3987;2021092721;    3;  17.4;  92.0;eor
       3987;2021092722;    3;  16.8;  95.0;eor
       3987;2021092723;    3;  16.6;  96.0;eor
       3987;2021092800;    3;  16.3;  97.0;eor
       3987;2021092801;    3;  16.1;  96.0;eor
       3987;2021092802;    3;  16.0;  96.0;eor
       3987;2021092803;    3;  16.1;  95.0;eor
       3987;2021092804;    3;  15.3;  91.0;eor
       3987;2021092805;    3;  14.8;  88.0;eor
       3987;2021092806;    3;  14.1;  95.0;eor
       3987;2021092807;    3;  14.3;  95.0;eor
       3987;2021092808;    3;  14.5;  94.0;eor
       3987;2021092809;    3;  14.7;  92.0;eor
       3987;2021092810;    3;  15.1;  87.0;eor
       3987;2021092811;    3;  16.0;  85.0;eor
       3987;2021092812;    3;  16.6;  71.0;eor
       3987;2021092813;    3;  17.5;  63.0;eor
       3987;2021092814;    3;  17.1;  64.0;eor
       3987;2021092815;    3;  16.9;  63.0;eor
       3987;2021092816;    3;  15.9;  74.0;eor
       3987;2021092817;    3;  14.4;  78.0;eor
       3987;2021092818;    3;  14.2;  82.0;eor
       3987;2021092819;    3;  13.3;  84.0;eor
       3987;2021092820;    3;  12.6;  92.0;eor
       3987;2021092821;    3;  12.0;  96.0;eor
       3987;2021092822;    3;  11.9;  98.0;eor
       3987;2021092823;    3;  11.6;  98.0;eor
       3987;2021092900;    3;  11.7;  99.0;eor
       3987;2021092901;    3;  11.3;  99.0;eor
       3987;2021092902;    3;  11.3; 100.0;eor
       3987;2021092903;    3;  11.0;  99.0;eor
       3987;2021092904;    3;  11.3; 100.0;eor
       3987;2021092905;    3;  12.0; 100.0;eor
       3987;2021092906;    3;  12.6;  99.0;eor
       3987;2021092907;    3;  13.3;  99.0;eor
       3987;2021092908;    3;  13.7;  98.0;eor
       3987;2021092909;    3;  13.9;  99.0;eor
       3987;2021092910;    3;  14.3; 100.0;eor
       3987;2021092911;    3;  14.5;  99.0;eor
       3987;2021092912;    3;  14.7;  97.0;eor
       3987;2021092913;    3;  15.5;  95.0;eor
       3987;2021092914;    3;  16.0;  93.0;eor
       3987;2021092915;    3;  16.2;  91.0;eor
       3987;2021092916;    3;  15.5;  95.0;eor
       3987;2021092917;    3;  14.4;  98.0;eor
       3987;2021092918;    3;  13.4;  91.0;eor
       3987;2021092919;    3;  12.2;  93.0;eor
       3987;2021092920;    3;  11.9;  88.0;eor
       3987;2021092921;    3;  10.9;  86.0;eor
       3987;2021092922;    3;  10.2;  87.0;eor
       3987;2021092923;    3;   9.1;  89.0;eor
       3987;2021093000;    3;   8.7;  90.0;eor
       3987;2021093001;    3;   8.4;  88.0;eor
       3987;2021093002;    3;   8.3;  88.0;eor
       3987;2021093003;    3;   8.6;  87.0;eor
       3987;2021093004;    3;   8.7;  87.0;eor
       3987;2021093005;    3;   8.5;  87.0;eor
       3987;2021093006;    3;   9.0;  85.0;eor
       3987;2021093007;    3;   9.5;  83.0;eor
       3987;2021093008;    3;  10.0;  80.0;eor
       3987;2021093009;    3;  11.7;  75.0;eor
       3987;2021093010;    3;  12.4;  72.0;eor
       3987;2021093011;    3;  14.9;  66.0;eor
       3987;2021093012;    3;  13.7;  72.0;eor
       3987;2021093013;    3;  15.4;  55.0;eor
       3987;2021093014;    3;  14.6;  61.0;eor
       3987;2021093015;    3;  14.4;  64.0;eor
       3987;2021093016;    3;  12.4;  75.0;eor
       3987;2021093017;    3;  10.7;  79.0;eor
       3987;2021093018;    3;   9.5;  83.0;eor
       3987;2021093019;    3;   9.4;  84.0;eor
       3987;2021093020;    3;   9.4;  81.0;eor
       3987;2021093021;    3;   8.3;  87.0;eor
       3987;2021093022;    3;   9.0;  79.0;eor
       3987;2021093023;    3;   8.8;  81.0;eor
       3987;2021100100;    3;   8.9;  81.0;eor
       3987;2021100101;    3;   8.5;  83.0;eor
       3987;2021100102;    3;   7.6;  88.0;eor
       3987;2021100103;    3;   7.2;  88.0;eor
       3987;2021100104;    3;   6.8;  89.0;eor
       3987;2021100105;    3;   6.9;  88.0;eor
       3987;2021100106;    3;   7.2;  85.0;eor
       3987;2021100107;    3;   8.4;  79.0;eor
       3987;2021100108;    3;  10.1;  76.0;eor
       3987;2021100109;    3;  12.8;  66.0;eor
       3987;2021100110;    3;  15.1;  60.0;eor
       3987;2021100111;    3;  16.5;  55.0;eor
       3987;2021100112;    3;  17.5;  54.0;eor
       3987;2021100113;    3;  17.4;  51.0;eor
       3987;2021100114;    3;  17.4;  49.0;eor
       3987;2021100115;    3;  16.5;  52.0;eor
       3987;2021100116;    3;  14.3;  64.0;eor
       3987;2021100117;    3;  12.6;  73.0;eor
       3987;2021100118;    3;  11.9;  73.0;eor
       3987;2021100119;    3;  11.1;  73.0;eor
       3987;2021100120;    3;  11.6;  72.0;eor
       3987;2021100121;    3;  10.8;  78.0;eor
       3987;2021100122;    3;  10.5;  79.0;eor
       3987;2021100123;    3;   9.5;  84.0;eor
       3987;2021100200;    3;   9.5;  85.0;eor
       3987;2021100201;    3;   9.9;  82.0;eor
       3987;2021100202;    3;  10.0;  81.0;eor
       3987;2021100203;    3;  10.4;  79.0;eor
       3987;2021100204;    3;  10.1;  82.0;eor
       3987;2021100205;    3;   9.7;  86.0;eor
       3987;2021100206;    3;   9.7;  87.0;eor
       3987;2021100207;    3;  10.8;  83.0;eor
       3987;2021100208;    3;  12.2;  82.0;eor
       3987;2021100209;    3;  14.7;  68.0;eor
       3987;2021100210;    3;  17.0;  65.0;eor
       3987;2021100211;    3;  18.7;  58.0;eor
       3987;2021100212;    3;  19.3;  54.0;eor
       3987;2021100213;    3;  19.0;  62.0;eor
       3987;2021100214;    3;  19.2;  61.0;eor
       3987;2021100215;    3;  18.5;  64.0;eor
       3987;2021100216;    3;  16.2;  79.0;eor
       3987;2021100217;    3;  15.0;  83.0;eor
       3987;2021100218;    3;  14.2;  85.0;eor
       3987;2021100219;    3;  13.8;  84.0;eor
       3987;2021100220;    3;  13.7;  83.0;eor
       3987;2021100221;    3;  14.4;  81.0;eor
       3987;2021100222;    3;  14.5;  81.0;eor
       3987;2021100223;    3;  14.2;  82.0;eor
       3987;2021100300;    3;  14.5;  79.0;eor
       3987;2021100301;    3;  14.6;  77.0;eor
       3987;2021100302;    3;  14.3;  75.0;eor
       3987;2021100303;    3;  14.2;  71.0;eor
       3987;2021100304;    3;  14.3;  70.0;eor
       3987;2021100305;    3;  14.2;  70.0;eor
       3987;2021100306;    3;  14.3;  69.0;eor
       3987;2021100307;    3;  14.3;  73.0;eor
       3987;2021100308;    3;  14.9;  72.0;eor
       3987;2021100309;    3;  16.1;  68.0;eor
       3987;2021100310;    3;  16.9;  68.0;eor
       3987;2021100311;    3;  19.4;  62.0;eor
       3987;2021100312;    3;  20.3;  57.0;eor
       3987;2021100313;    3;  21.5;  57.0;eor
       3987;2021100314;    3;  21.2;  58.0;eor
       3987;2021100315;    3;  20.3;  60.0;eor
       3987;2021100316;    3;  18.9;  69.0;eor
       3987;2021100317;    3;  19.0;  65.0;eor
       3987;2021100318;    3;  18.7;  63.0;eor
       3987;2021100319;    3;  18.3;  67.0;eor
       3987;2021100320;    3;  18.1;  65.0;eor
       3987;2021100321;    3;  17.7;  68.0;eor
       3987;2021100322;    3;  16.6;  76.0;eor
       3987;2021100323;    3;  16.3;  77.0;eor
       3987;2021100400;    3;  15.8;  81.0;eor
       3987;2021100401;    3;  15.8;  88.0;eor
       3987;2021100402;    3;  15.6;  88.0;eor
       3987;2021100403;    3;  14.7;  92.0;eor
       3987;2021100404;    3;  13.9;  86.0;eor
       3987;2021100405;    3;  13.5;  87.0;eor
       3987;2021100406;    3;  13.1;  89.0;eor
       3987;2021100407;    3;  12.9;  90.0;eor
       3987;2021100408;    3;  13.7;  85.0;eor
       3987;2021100409;    3;  13.8;  85.0;eor
       3987;2021100410;    3;  13.8;  82.0;eor
       3987;2021100411;    3;  13.9;  81.0;eor
       3987;2021100412;    3;  13.8;  88.0;eor
       3987;2021100413;    3;  13.8;  90.0;eor
       3987;2021100414;    3;  13.9;  82.0;eor
       3987;2021100415;    3;  13.9;  84.0;eor
       3987;2021100416;    3;  13.6;  88.0;eor
       3987;2021100417;    3;  13.0;  91.0;eor
       3987;2021100418;    3;  12.6;  90.0;eor
       3987;2021100419;    3;  12.4;  91.0;eor
       3987;2021100420;    3;  12.7;  87.0;eor
       3987;2021100421;    3;  12.5;  90.0;eor
       3987;2021100422;    3;  12.4;  91.0;eor
       3987;2021100423;    3;  12.3;  92.0;eor
       3987;2021100500;    3;  12.3;  91.0;eor
       3987;2021100501;    3;  12.2;  92.0;eor
       3987;2021100502;    3;  11.9;  95.0;eor
       3987;2021100503;    3;  12.0;  96.0;eor
       3987;2021100504;    3;  12.0;  94.0;eor
       3987;2021100505;    3;  11.8;  94.0;eor
       3987;2021100506;    3;  11.7;  97.0;eor
       3987;2021100507;    3;  11.9;  98.0;eor
       3987;2021100508;    3;  12.7;  98.0;eor
       3987;2021100509;    3;  12.7;  98.0;eor
       3987;2021100510;    3;  12.6;  99.0;eor
       3987;2021100511;    3;  13.1;  97.0;eor
       3987;2021100512;    3;  13.4;  98.0;eor
       3987;2021100513;    3;  13.1;  98.0;eor
       3987;2021100514;    3;  12.6;  97.0;eor
       3987;2021100515;    3;  12.5;  97.0;eor
       3987;2021100516;    3;  12.0;  97.0;eor
       3987;2021100517;    3;  11.6;  98.0;eor
       3987;2021100518;    3;  11.3;  98.0;eor
       3987;2021100519;    3;  10.8;  99.0;eor
       3987;2021100520;    3;  11.1;  99.0;eor
       3987;2021100521;    3;  11.1;  99.0;eor
       3987;2021100522;    3;  10.5;  99.0;eor
       3987;2021100523;    3;  10.7;  99.0;eor
       3987;2021100600;    3;  10.9;  99.0;eor
       3987;2021100601;    3;  10.8;  98.0;eor
       3987;2021100602;    3;  11.2;  98.0;eor
       3987;2021100603;    3;  11.5;  99.0;eor
       3987;2021100604;    3;  11.6;  99.0;eor
       3987;2021100605;    3;  11.2;  99.0;eor
       3987;2021100606;    3;  10.3;  99.0;eor
       3987;2021100607;    3;  10.4;  99.0;eor
       3987;2021100608;    3;  11.7;  90.0;eor
